indicator_id,source,indicator,description,transformation,description_values,interpretability,forecast,group_id,group_name,map,slug,slug_text,type_plot,color_scale
11,International Crisis Group,ICG Crisis Watch (Qualitative Assesment),"The International Crisis Group's Crisis Watch provides monthly updates on global conflicts, assessing their severity and providing in-depth qualitative analysis of conflict dynamics, their recent evolution and potential resolution pathways.",None,Deteriorated Situations; Improved Situations; Unchanged Situtations,Deteriorated Situation means that overall political and security situation has significantly detetiorated relative to the previous month. Similar interpretation for those that significantly improved. Unchanged means neither deteriorated nor improved.,monitoring,4_X,Monitoring Indicators,secondary,CW_risk,CW_status,text-based,No Escalation (Green); Deteriorated Situation (Red)
12,Program on Geostrategic Risk (funded by CIA),POLECAT Event Intensity (Number of negative political events),"POLECAT is a global political event dataset, building from millions of international news reports since 2010.",Logarithmic Transformation,Percentiles of count of all negative (conflictual) events for a country in the given month ,Higher percentiles indicate greater risk of political conflict.,monitoring,4_X,Monitoring Indicators,secondary,POLECAT_NEG,,numerical,
13,ACAPS,ACAPS Risk List (Qualitative Assesment),"The ACAPS Risk List identifies countries facing humanitarian crises, due to a number of factors including natural hazards, armed conflict and food insecurity. This dataset provides early warnings and risk ratings based on the severity and impact of crises.",None,"The maximum risk level of crisis events in a country, where risk is measured as the product of the event's impact and probability.",,monitoring,4_X,Monitoring Indicators,secondary,ACAPS_risk_level,ACAPS_risk_title,text-based,Low (Green); Medium (Orange); High (Red)
14,Economist Intelligence Unit,EIU Security Risk,"The Economist Intelligence Unit's (EIU) Security Risk indicator assesses the level of security risk in countries. It evaluates countries based on factors such as crime rates, political violence, and terrorism. Point change in Economist Intelligence Unit’s Country-level Operational Risk scores for Security Risk, excluding hostility to foreign. The EIU Operational Risk is a multi-dimension index tracking macro-fiscal conditions updated on a monthly basis.",None,Percentiles of risk scores from 0 (lowest risk) to 100 (highest risk),Higher percentiles indicate greater security risk,monitoring,4_X,Monitoring Indicators,secondary,EIU_security_risk,,numerical,
15,INFORM,INFORM Severity,"The INFORM Severity Index, produced by the European Commission measures the severity of humanitarian crises globally. To assess crisis severity, INFORM Severity draws from data on the geographical and human impacts, the complexity of the crisis, and the conditions of people affected. Categories include a) violence b) conflict c) displacement d) socio-political and e) others less immediately FCV. Each event is given a) a severity level 1-5, b) a trend direction c) impact d)human impact (= people affected, displaced, killed, and relative versions), e) conditions of people affected (% of people in severity of conditions), f) complexity, g) society and safety score (among other indicators).",None,Percentiles of risk scores from 0 (less severe) to 10 (more severe),Higher percentiles indicate greater severity,monitoring,4_X,Monitoring Indicators,secondary,INFORMSEVERITY_index,,numerical,
16,University of Kentucky,Global Instances of Coups,Recent failed/successful coups for each country.,None,,,monitoring,,,no,GIC_coup,GIC_coup_text,text-based,Failed coup (Orange); Successful coup (Red)
17,IFES,IFES Election in next six months,Upcoming elections in the next 6 months,None,,,monitoring,,,no,IFES_anticipated,,numerical,
18,IDMC,"IDMC Internal displacements (Number of internal displacements, movements rather than people)","The Internal Displacement Monitoring Centre (IDMC) tracks and reports on internal displacement caused by armed conflict and disasters, providing data on the scale and dynamics of displacement dynamics  worldwide.",Logarithmic Transformation,Percentiles of total number of internal displacement movements within the specified country ,Higher percentiles indicate greater risk.,dormant,,,no,IDMC_ID_movements_combined,,numerical,
19,ACLED,ACLED BRD (Number of battle-related deaths),"Number of political fatalities in a week aggregated at the country-month level, excluding gang-related deaths.",Logarithmic Transformation,Number of battle-related deaths,Higher number of deaths indicate greater risk of conflict.,dormant,,,no,ACLED_BRD_per_100k,,numerical,
20,WBG,WBG Conflict Forecast Driver: EIU Security Risk (Contribution Percentage in 12 months prediction),Contribution percentage of the driver EIU Security Risk in 12-month prediction,,,,forecast,,,no,wbg_forecast_eiu_risk_12,,-,
21,WBG,WBG Conflict Forecast Driver: EIU Security Risk (Contribution Percentage in 24 months prediction),Contribution percentage of the driver EIU Security Risk in 24-month prediction,,,,forecast,,,no,wbg_forecast_eiu_risk_24,,-,
22,WBG,WBG Conflict Forecast Driver: EIU Security Risk (Contribution Percentage in 36 months prediction),Contribution percentage of the driver EIU Security Risk in 36-month prediction,,,,forecast,,,no,wbg_forecast_eiu_risk_36,,-,
23,WBG,WBG Conflict Forecast Driver: SPEI Mean (Contribution Percentage in 12 months prediction),Contribution percentage of the driver SPEI Mean in 12-month prediction,,,,forecast,,,no,wbg_forecast_spei_mean_12,,-,
24,WBG,WBG Conflict Forecast Driver: SPEI Mean (Contribution Percentage in 24 months prediction),Contribution percentage of the driver SPEI Mean in 24-month prediction,,,,forecast,,,no,wbg_forecast_spei_mean_24,,-,
25,WBG,WBG Conflict Forecast Driver: SPEI Mean (Contribution Percentage in 36 months prediction),Contribution percentage of the driver SPEI Mean in 36-month prediction,,,,forecast,,,no,wbg_forecast_spei_mean_36,,-,
26,WBG,WBG Conflict Forecast Driver: SPEI SD (Contribution Percentage in 12 months prediction),Contribution percentage of the driver SPEI SD in 12-month prediction,,,,forecast,,,no,wbg_forecast_spei_sd_12,,-,
27,WBG,WBG Conflict Forecast Driver: SPEI SD (Contribution Percentage in 24 months prediction),Contribution percentage of the driver SPEI SD in 24-month prediction,,,,forecast,,,no,wbg_forecast_spei_sd_24,,-,
28,WBG,WBG Conflict Forecast Driver: SPEI SD (Contribution Percentage in 36 months prediction),Contribution percentage of the driver SPEI SD in 36-month prediction,,,,forecast,,,no,wbg_forecast_spei_sd_36,,-,
29,WBG,WBG Conflict Forecast Driver: UCDP BRD (Contribution Percentage in 12 months prediction),Contribution percentage of the driver UCDP BRD in 12-month prediction,,,,forecast,,,no,wbg_forecast_ucdp_brd_12,,-,
30,WBG,WBG Conflict Forecast Driver: UCDP BRD (Contribution Percentage in 24 months prediction),Contribution percentage of the driver UCDP BRD in 24-month prediction,,,,forecast,,,no,wbg_forecast_ucdp_brd_24,,-,
31,WBG,WBG Conflict Forecast Driver: UCDP BRD (Contribution Percentage in 36 months prediction),Contribution percentage of the driver UCDP BRD in 36-month prediction,,,,forecast,,,no,wbg_forecast_ucdp_brd_36,,-,
32,WBG,WBG Conflict Forecast Driver: WGI Political Stability and Absence of Violence (Contribution Percentage in 12 months prediction),Contribution percentage of the driver WGI Political Stability and Absence of Violence in 12-month prediction,,,,forecast,,,no,wbg_forecast_wgi_pol_abs_12,,-,
33,WBG,WBG Conflict Forecast Driver: WGI Political Stability and Absence of Violence (Contribution Percentage in 24 months prediction),Contribution percentage of the driver WGI Political Stability and Absence of Violence in 24-month prediction,,,,forecast,,,no,wbg_forecast_wgi_pol_abs_24,,-,
34,WBG,WBG Conflict Forecast Driver: WGI Political Stability and Absence of Violence (Contribution Percentage in 36 months prediction),Contribution percentage of the driver WGI Political Stability and Absence of Violence in 36-month prediction,,,,forecast,,,no,wbg_forecast_wgi_pol_abs_36,,-,
35,WBG,WBG CRM Emerging Threats (FCV dimension),"The World Bank Group's Compound Risk Monitor (CRM) is a multidimensional early warning system measuring the risk of crisis in each country across six dimensions (Socioeconomics, Natural hazards, Health, Food security, Conflict & Fragility and Macro-Fiscal) drawing from open-source and internal data. For each dimension, the CRM attributes two scores measuring Emerging Threats and Underlying Vulnerability, as well as an aggregated score (Overall).

This indicator corresponds to the Emerging Threats score for the Conflict and Fragility (FCV) dimension. ",None,Percentiles of count of emerging threats flags,Higher percentiles indicate greater emerging risks,dormant,,,no,CRM Emerging Fragility and Conflict,,numerical,
36,UCDP,UCDP BRD,"Number of battle related deaths, aggregated from event-level resolution to country-month resolution",Logarithmic Transformation,Number of battle-related deaths,Higher number of deaths indicate greater risk of conflict.,dormant,,,no,UCDP_BRD_per_100k,,numerical,
37,WBG,WBG CRM Underlying Vulnerability (FCV dimension),"The World Bank Group's Compound Risk Monitor (CRM) is a multidimensional early warning system measuring the risk of crisis in each country across six dimensions (Socioeconomics, Natural hazards, Health, Food security, Conflict & Fragility and Macro-Fiscal) drawing from open-source and internal data. For each dimension, the CRM attributes two scores measuring Emerging Threats and Underlying Vulnerability, as well as an aggregated score (Overall).

This indicator corresponds to the Underlying Vulnerability score for the Conflict and Fragility (FCV) dimension. ",None,Percentiles of count of underlying vulnerabilities flags,Higher percentiles indicate greater structural risk,dormant,,,secondary,CRM Underlying Fragility and Conflict,,numerical,
